Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
JYOTISHA(Kannada)-2022,Class 52: Second issue & General Remedies,Q9M0HLDLZq4, none
JYOTISHA(Kannada)-2022,Class 53: BOY/BABY- C SECTION(Blarista-Nakshatra Dosha)-Mis-CARRIAGES,n5PUgJ-V6mc, none
JYOTISHA(Kannada)-2022,Class 54: Dasha System(ದಶೆಗಳು),vRcoEKxrOKg, none
JYOTISHA(Kannada)-2022,Class 55: Analysing Vimshothari Dasha,6JsQ68V6jVY, none
JYOTISHA(Kannada)-2022,Class 56: Vimshothari Dasha - Practise,oGMkbwhWg5M, none
JYOTISHA(Kannada)-2022,Class 57: Gochara (Planetery Transit) - Introduction,ZBjaoiZ_Bzg, none
JYOTISHA(Kannada)-2022,Class 58: Gochara Phala-Veda-Vipareeta Veda,97l5hLR5QIU, none
JYOTISHA(Kannada)-2022,Class 59: Gochara Phala(GuruBhala; 7 1/2 Shani; Ashtama Shani; Ardhastama Shani...etc),RZC1h-n1Wec, none
JYOTISHA(Kannada)-2022,Class 60: Gochara  Phala through Jaganatha Hora Software,I_7_lv8E91o, none
JYOTISHA(Kannada)-2022,Class 61: MUHURTHA-BASICS,_odQFWBLPJw, none
JYOTISHA(Kannada)-2022,Class 62: Muhurtha(Panchanga Shudhi),O6UyuRrFVgs, none
JYOTISHA(Kannada)-2022,Class 63: MUHURTHA(Tarabhala; Chandra Bhala; Lagna Bhala),gCFQaw_DPi4, none
JYOTISHA(Kannada)-2022,Class 64: Muhurtha(Lagna Bhala & Eka-Vimshathi Doshagalu),6ypk3JKpfgI, none
JYOTISHA(Kannada)-2022,Class 65: MUHURTHA-PRACTICE-1,R1xPzUwLusI, none
JYOTISHA(Kannada)-2022,Class 66: PUSHKARAMSHA; PANCHAKA; ABHIJITH LAGNA & Muhurtha Practice,JmzDZA63yr0, none
JYOTISHA(Kannada)-2022,Class 67: UPANAYANA & NAMAKARANA MUHURTHA,-idyxfw-KXI, none
JYOTISHA(Kannada)-2022,Class 68: MISCELLANEOUS  MUHURTHAs,P6ctjfnpmW8, none
JYOTISHA(Kannada)-2022,Class 69: Effects of Retrograde Planet,9eycp-zNSzo, none
JYOTISHA(Kannada)-2022,Class 70: PROPERTY BUYING & SELLING,CdGUyGFarOA, none
JYOTISHA(Kannada)-2022,Class 71: Income; Expenditure & Savings,nCEYeZuEzKs, none
JYOTISHA(Kannada)-2022,Class 72: Analysing Dwiteeya Sthaana,6o9IYVeIQR8, none
JYOTISHA(Kannada)-2022,Class 73: Predicting Huge Income through Indu/Shree Lagna,-38wll_qe70, none
JYOTISHA(Kannada)-2022,Class 74: Dhana Sthaana - Practical Examples,jzLbvVmUIMI, none
